Specie,Total,Anthophila,New_Justine,DG,HS,LMDI,inat_25_04,iNaturalist,Spipoll
Bombus sylvarum,3120,6,0,7,0,46,2432,629,0
Bombus sylvestris,293,1,0,3,0,23,221,45,0
Bombus terrestris,20535,34,2,9,1,41,15874,4574,0
Bombus terrestris audax,93,0,0,0,0,0,0,93,0
Bombus terrestris dalmatinus,91,0,0,0,0,0,65,26,0
Bombus terrestris lusitanicus,888,0,0,0,0,5,673,210,0
Bombus terrestris sassaricus,49,0,0,0,0,0,25,24,0
Bombus terrestris terrestris,1,0,0,0,0,0,0,1,0
Bombus terrestris xanthopus,25,0,0,0,0,3,0,22,0
Bombus vestalis,1901,5,2,3,0,23,1410,458,0
Bombus veteranus,633,2,5,2,0,3,529,92,0
Bombus wurfleini,4,0,0,4,0,0,0,0,0
Bombus wurflenii,228,0,0,0,1,0,181,46,0
Bombus xanthopus,52,0,0,2,0,0,50,0,0
Camptopoeum nasutum,5,0,0,5,0,0,0,0,0
Ceratina,449,0,0,0,32,44,0,0,373
Ceratina chalcites,96,32,0,4,23,26,8,3,0
Ceratina chalybea,213,169,0,2,0,0,36,6,0
Ceratina cucurbitina,842,134,0,3,0,29,218,82,376
Ceratina cyanea,142,39,0,1,0,18,65,19,0
Ceratina dallatorreana,18,0,0,0,0,5,10,3,0
Ceratina parvula,25,0,0,0,0,4,19,2,0
Ceylalictus variegatus,236,11,0,2,14,13,180,16,0
Chelostoma,31,0,0,0,5,26,0,0,0
Chelostoma campanularum,148,42,0,1,0,0,76,29,0
Chelostoma distinctum,2,0,0,2,0,0,0,0,0
Chelostoma emarginatum,8,0,0,0,0,6,2,0,0
Chelostoma florisomne,572,3,4,2,0,10,393,160,0
Chelostoma foveolatum,1,0,0,1,0,0,0,0,0
Chelostoma grande,2,0,0,0,0,2,0,0,0
Chelostoma rapunculi,448,82,0,2,0,21,293,50,0
Coelioxys,60,0,0,0,0,60,0,0,0
Coelioxys acanthura,25,0,0,0,0,19,3,3,0
Coelioxys afra,104,93,0,0,0,11,0,0,0
Coelioxys alatus,56,0,0,0,0,0,44,12,0
Coelioxys argentea,18,0,0,0,0,18,0,0,0
Coelioxys argenteus,5,0,0,0,0,0,0,5,0
Coelioxys aurolimbata,12,0,2,0,0,10,0,0,0
Coelioxys aurolimbatus,12,0,0,0,0,0,9,3,0
Coelioxys brevis,17,12,0,0,0,5,0,0,0
Coelioxys caudata,1,0,0,0,0,1,0,0,0
Coelioxys conoidea,107,90,2,1,0,14,0,0,0
Coelioxys conoideus,43,0,0,0,0,0,33,10,0
Coelioxys echinata,16,16,0,0,0,0,0,0,0
Coelioxys echinatus,12,0,0,0,0,0,11,1,0
Coelioxys elongata,13,0,1,0,2,10,0,0,0
Coelioxys elongatus,14,0,0,0,0,0,13,1,0
Coelioxys haemorrhoa,2,0,0,0,0,0,1,1,0
Coelioxys inermis,86,81,0,1,0,3,0,1,0
Coelioxys mandibularis,1,0,0,0,0,0,0,1,0
Coelioxys obtusa,2,1,0,0,0,1,0,0,0
Coelioxys polycentris,4,0,0,0,0,0,3,1,0
Coelioxys quadridentata,6,0,0,0,0,6,0,0,0
Coelioxys sp,1,0,0,1,0,0,0,0,0
Colletes,74,0,0,0,11,63,0,0,0
Colletes abeillei,4,0,0,4,0,0,0,0,0
Colletes cunicularius,2725,36,7,4,0,54,1959,665,0
Colletes daviesanus,61,6,4,1,0,14,22,14,0
Colletes floralis,12,0,0,2,0,0,9,1,0
Colletes fodiens,21,11,0,1,0,4,4,1,0
Colletes foveolaris,6,0,0,6,0,0,0,0,0
Colletes gallicus,14,0,0,2,8,4,0,0,0
Colletes halophilus,49,0,0,0,0,6,37,6,0
Colletes hederae,2632,30,0,6,0,55,1500,560,481
Colletes hylaeiformis,76,34,0,0,0,1,28,13,0
Colletes impunctatus,1,0,0,1,0,0,0,0,0
Colletes marginatus,22,0,0,0,0,0,20,2,0
Colletes mlokossewiczi,1,0,0,1,0,0,0,0,0
Colletes nigricans,10,0,0,2,0,1,7,0,0
Colletes pulchellus,2,0,0,2,0,0,0,0,0
Colletes similis,128,86,1,1,0,11,25,4,0
Colletes succinctus,69,2,3,3,0,8,43,10,0
Creightonella albisecta,5,0,0,5,0,0,0,0,0
Dasypoda,141,0,0,0,0,18,0,0,123
Dasypoda argentata,62,13,0,2,15,12,17,3,0
Dasypoda cingulata,10,4,0,0,0,6,0,0,0
Dasypoda crassicornis,12,0,0,4,0,0,7,1,0
Dasypoda hirtipes,2493,13,7,4,0,31,1673,765,0
Dasypoda visnaga,43,10,0,0,30,2,1,0,0
Dioxys cincta,5,0,0,2,0,3,0,0,0
Dioxys cinctus,15,0,0,0,0,0,11,4,0
Dufourea alpina,4,0,0,1,0,0,2,1,0
Dufourea paradoxa,6,0,0,1,0,0,4,1,0
Epeoloides coecutiens,388,0,15,1,0,8,273,89,2
Epeolus,91,0,0,0,0,40,0,0,51
Epeolus cruciger,64,21,1,1,0,9,26,6,0
Epeolus fallax,222,53,0,1,0,31,116,21,0
Epeolus julliani,47,0,0,0,47,0,0,0,0
Epeolus tarsalis,19,0,0,0,0,7,10,2,0
Epeolus variegatus,102,16,3,0,0,6,58,19,0
Eucera,84,0,0,0,9,75,0,0,0
Eucera caspica,2,0,0,1,0,0,1,0,0
Eucera chrysopyga,15,0,0,0,9,3,2,1,0
Eucera cineraria,12,0,0,0,3,0,9,0,0
Eucera clypeata,14,10,0,2,0,2,0,0,0
Eucera collaris,2,0,0,2,0,0,0,0,0
Eucera elongatula,4,0,0,0,0,0,3,1,0
Eucera elongulata,2,0,0,2,0,0,0,0,0
Eucera hispaliensis,1,0,0,1,0,0,0,0,0
Eucera hispana,33,32,0,1,0,0,0,0,0
Eucera longicornis,179,1,0,2,0,13,117,46,0
Eucera longicornis nigrescens,3,0,0,0,0,3,0,0,0
Eucera nigrescens,212,72,13,2,0,29,79,17,0
Eucera nigrifacies,88,66,0,12,0,10,0,0,0
Eucera nigrilabris,165,28,0,2,1,22,94,18,0
Eucera pollinosa,2,0,0,1,0,0,1,0,0
Eucera sp,2,0,0,2,0,0,0,0,0
Eucera taurica,65,62,0,3,0,0,0,0,0
Eucera tricincta,3,0,0,0,0,0,2,1,0
Habropoda tarsata,252,0,0,3,0,8,202,39,0
Habropoda zonatula,19,0,0,0,0,0,12,7,0
Halictus,117,0,0,0,44,73,0,0,0
Halictus brunnescens,7,1,0,1,0,0,5,0,0
Halictus cochlearitarsis,12,0,0,2,0,1,9,0,0
Halictus compressus,14,2,0,0,0,7,5,0,0
Halictus crenicornis,18,0,0,0,0,0,17,1,0
Halictus fulvipes,231,13,0,1,0,3,210,4,0
Halictus langobardicus,51,46,0,0,0,5,0,0,0
Halictus maculatus,137,45,0,1,7,10,68,6,0
Halictus patellatus,13,0,0,3,0,0,10,0,0
Halictus quadricinctus,214,53,1,3,0,26,102,29,0
Halictus rubicundus,5840,16,0,0,0,24,5640,160,0
Halictus scabiosae,5963,117,6,3,3,61,4224,1549,0
Halictus sexcinctus,411,22,0,1,4,20,271,93,0
Halictus simplex,64,7,0,0,0,0,55,2,0
Halictus tetrazonius,1,0,0,1,0,0,0,0,0
Heriades,46,0,0,0,2,44,0,0,0
Heriades crenulata,51,12,0,0,0,8,20,11,0
Heriades crenulatus,2,0,0,2,0,0,0,0,0
Heriades truncorum,448,41,3,1,0,16,257,130,0
Holandrena sp,1,0,0,1,0,0,0,0,0
Hoplitis,66,0,0,0,7,59,0,0,0
Hoplitis acuticornis,5,0,0,0,0,5,0,0,0
Hoplitis adunca,293,126,0,1,2,30,103,31,0
Hoplitis benoisti,1,0,0,0,0,0,0,1,0
Hoplitis bisulca,25,0,0,1,18,6,0,0,0
Hoplitis claviventris,19,0,0,0,0,0,17,2,0
Hoplitis cristatula,38,0,0,4,0,29,5,0,0
Hoplitis dalmatica,1,0,0,0,0,1,0,0,0
Hoplitis jakovlevi,1,0,0,1,0,0,0,0,0
Hoplitis leucomelana,104,25,0,0,0,36,33,10,0
Hoplitis lithodorae,1,0,0,1,0,0,0,0,0
Hoplitis mocsaryi,42,0,0,0,0,0,35,7,0
Hoplitis mucidoides,3,0,0,3,0,0,0,0,0
Hoplitis papaveris,12,0,0,0,0,4,3,5,0
Hoplitis perezi,30,10,0,1,0,19,0,0,0
Hoplitis ravouxi,22,0,0,0,0,0,21,1,0
Hoplitis tridentata,230,204,0,0,0,6,15,5,0
Hoplosmia,7,0,0,0,7,0,0,0,0
Hylaeus,3406,0,0,0,21,82,0,0,3303
Hylaeus annularis,2,0,0,0,0,0,0,2,0
Hylaeus annulatus,77,0,0,0,0,0,76,1,0
Hylaeus brachycephalus,2,0,0,0,0,2,0,0,0
Hylaeus brevicornis,14,0,0,0,0,5,5,4,0
Hylaeus clypearis,38,8,0,0,0,2,24,4,0
Hylaeus communis,324,19,0,0,0,12,231,62,0
Hylaeus confusus,45,10,1,0,0,6,21,7,0
Hylaeus coriaceus,6,6,0,0,0,0,0,0,0
Hylaeus cornutus,78,50,0,0,0,2,23,3,0
Hylaeus difformis,5,0,0,0,0,2,2,1,0
Hylaeus dilatatus,38,1,0,0,0,3,19,15,0
Hylaeus duckei,20,19,0,0,0,0,0,1,0
Hylaeus gibbus,18,0,0,0,0,1,16,1,0
Hylaeus gredleri,16,13,0,0,0,0,2,1,0
Hylaeus hyalinatus,262,15,3,0,0,17,192,35,0
Hylaeus incongruus,3,2,0,0,0,0,1,0,0
Hylaeus leptocephalus,674,0,0,0,0,0,672,2,0
Hylaeus lineolatus,6,0,0,0,0,6,0,0,0
Hylaeus meridionalis,14,0,0,0,5,3,6,0,0
Hylaeus nigritus,207,10,0,0,0,18,150,29,0
Hylaeus pectoralis,22,0,0,0,0,5,15,2,0
Hylaeus pictipes,86,25,0,0,0,10,44,7,0
Hylaeus pictus,171,62,0,0,0,2,86,21,0
Hylaeus punctatus,310,4,0,0,0,3,290,13,0
Hylaeus punctulatissimus,64,60,0,1,0,2,1,0,0
Hylaeus rinki,9,0,0,0,0,0,5,4,0
Hylaeus signatus,88,11,4,0,0,16,42,15,0
Hylaeus sinuatus,12,2,0,0,0,0,9,1,0
